beta1,beta2,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.002117405,0.062999217,0.008856485,0.015883728,0.01279374,0.016688161,0.026401732,0.033912991,0.011686106,0.011588292
0.00913926,0.053432962,0.013470488,0.014479715,0.008448302,0.020382255,0.022897486,0.029661562,0.016117136,0.015837446
0.000779823,0.065273807,0.007163864,0.014619034,0.017041219,0.019288979,0.024573079,0.032124495,0.020018102,0.012918398
0.00098995,0.063522555,0.007630775,0.016176479,0.015492834,0.022749623,0.021159566,0.03727867,0.01573153,0.028117821
0.003461671,0.063963258,0.007254196,0.015949672,0.011534291,0.018610955,0.025019204,0.028991845,0.013853873,0.008886238
0.010207916,0.051135006,0.008169814,0.013640038,0.016397123,0.017929855,0.029033649,0.013932193,0.014349053,0.006849319
0.00271249,0.064799909,0.01022782,0.013108233,0.009472433,0.01601355,0.029776626,0.015070172,0.016980602,0.012192762
0.004114179,0.059935465,0.006606303,0.012835914,0.017487675,0.01752903,0.026061889,0.032371652,0.021467653,0.010222429
0.000384248,0.066015503,0.009778886,0.017388927,0.011124662,0.018033056,0.024232245,0.026193335,0.019288762,0.004013843
0.003416505,0.061474315,0.009230183,0.016650981,0.012340816,0.014773482,0.025636283,0.026169682,0.021993631,0.0056447
0.000409788,0.065087873,0.008059052,0.013729102,0.014719454,0.015829318,0.028972097,0.034081702,0.016485766,0.012130532
0.001972673,0.067742583,0.007725991,0.013374805,0.014775058,0.017377082,0.022881611,0.025411386,0.015404629,0.006914776
0.002127483,0.06790945,0.008883473,0.011022043,0.016052156,0.014262743,0.024300987,0.023144209,0.017171609,0.009004949
0.001141104,0.064853171,0.008206468,0.015381672,0.017957571,0.018754591,0.021260193,0.03153515,0.020692102,0.010551981
0.000724192,0.06355772,0.008443781,0.012560115,0.017613741,0.018663725,0.029491521,0.033742455,0.020257559,0.011595509
0.001720936,0.066115823,0.008894079,0.01305677,0.016440154,0.019842085,0.021618617,0.029565054,0.015813942,0.00880908
0.000217897,0.068177825,0.008932466,0.015064245,0.010912472,0.019724147,0.025165093,0.030941381,0.02699689,0.009926209
0.001980126,0.063827459,0.004949685,0.015250295,0.018407459,0.019145798,0.019603001,0.040580851,0.021674278,0.010529151
1.37E-05,0.066021011,0.010409147,0.015229929,0.010618633,0.026029911,0.013345557,0.042380558,0.012417153,0.011266164
1.10E-05,0.070731711,0.005650469,0.014267369,0.017979996,0.014028979,0.024307804,0.027150004,0.017790873,0.004889725
0.000799144,0.066860601,0.007337835,0.018904194,0.007725349,0.015417386,0.026656659,0.020892541,0.020343005,0.0058973
0.000415482,0.069325024,0.009333057,0.009556515,0.016375919,0.01515031,0.032523893,0.012571433,0.015877804,0.011803426
0.010737022,0.050236583,0.007240458,0.014615502,0.019063731,0.020414533,0.024265284,0.029522631,0.020278967,0.007925056
0.006641921,0.058673857,0.010010427,0.014657556,0.01374054,0.016054314,0.026383011,0.021908657,0.015576523,0.005090644
0.000230382,0.067730593,0.0107489,0.01147996,0.018118238,0.015427078,0.026174941,0.027417119,0.014146807,0.011667061
0.001034094,0.063669128,0.008314008,0.015533166,0.016663858,0.02522706,0.018390669,0.039778473,0.01289563,0.024248888
0.000575271,0.066233307,0.009298272,0.01265114,0.014796736,0.016296084,0.027412432,0.023883141,0.015768503,0.010068239
0.001950304,0.064598755,0.00622925,0.015252258,0.012949074,0.021043293,0.027175032,0.021169839,0.00607781,0.010046007
0.004565158,0.063748099,0.006862559,0.017234175,0.011139024,0.017801333,0.023827099,0.029169329,0.018121097,0.008764062
0.00189178,0.064315693,0.00584461,0.018745332,0.010838134,0.015413808,0.032237925,0.026741734,0.028816868,0.016718362
0.002825643,0.064715697,0.006336,0.017507561,0.011357133,0.015040687,0.029209895,0.024945199,0.019893578,0.00635784
0.004142899,0.061928881,0.004073857,0.016155499,0.017380665,0.014214644,0.028604255,0.032610916,0.019694007,0.009800979
0.000721784,0.062001342,0.004637926,0.022505356,0.012801583,0.016566511,0.025742711,0.044173961,0.03683256,0.012573413
0.002645728,0.061290284,0.008438042,0.014280664,0.014261561,0.013981738,0.032865734,0.02833098,0.009020625,0.016051621
0.001831192,0.062580435,0.010014432,0.013156876,0.014512238,0.018418677,0.027939197,0.028035893,0.019748234,0.009382169
0.000586917,0.066274388,0.008183821,0.014048772,0.018180352,0.025574194,0.019245635,0.028281649,0.009571129,0.024529058
0.002865252,0.06134518,0.009438991,0.016597674,0.019208514,0.018617823,0.022296451,0.031953346,0.01869776,0.007487752
0.000802067,0.068652182,0.005626297,0.016285218,0.010657966,0.021303801,0.019715886,0.037422281,0.01604806,0.018237868
0.004396832,0.061211709,0.010750257,0.013120792,0.014165008,0.01504767,0.03468448,0.02007548,0.020290819,0.009039327
0.00116366,0.066175145,0.011516339,0.015302124,0.008772547,0.014356411,0.027101696,0.021631304,0.014911509,0.004991169
0.005859108,0.0556549,0.009023572,0.015648492,0.014801946,0.02127423,0.021903321,0.028384028,0.020479952,0.005929683
0.006095001,0.059530588,0.014055396,0.010480444,0.01637553,0.019455192,0.023947925,0.020922261,0.015726176,0.005992336
0.002459375,0.065032264,0.007253973,0.017745684,0.010262313,0.018329008,0.022457479,0.034595788,0.020988801,0.012537363
0.004110936,0.063737015,0.008835718,0.014621781,0.012403783,0.011962427,0.029840232,0.029730212,0.019867427,0.010751732
0.00042875,0.068675209,0.006361994,0.013192871,0.013644322,0.017847102,0.023238257,0.029931471,0.018452404,0.011730896
0.00248985,0.065117966,0.004149239,0.017450681,0.015119562,0.016423324,0.028511481,0.024481596,0.017711785,0.01043829
0.000479539,0.070756653,0.004909682,0.015473121,0.011804068,0.016010845,0.026131994,0.026167834,0.024993813,0.020155231
0.000542201,0.070328365,0.005719759,0.01744563,0.013558393,0.011610854,0.034738571,0.014784194,0.013835124,0.013922045
0.002002719,0.067369901,0.005613605,0.014143426,0.016045593,0.013699225,0.032566614,0.018770241,0.018740395,0.009914751
0.002081471,0.061979784,0.004889252,0.018497899,0.014514599,0.017621068,0.026333752,0.029800072,0.017209787,0.009903716
0.001102601,0.064888153,0.008454122,0.012771903,0.013085459,0.019962782,0.024649113,0.029581994,0.022488656,0.00841387
