"beta1","beta2","z"
0.00219628706812844,0.085997382943768,0.991182504335711
0.000555866769928663,0.0886287567522194,0.998753096062364
0.000123255690149328,0.0894859293170596,0.997863385470965
6.83705844952905e-05,0.0895424400193804,0.992492976145257
0.00133823211631863,0.0869941415388666,0.997323965990619
0.000581342340839771,0.0881785783323275,0.997247021357351
0.00219870063873683,0.0852543054267676,0.992792350172672
0.00045270190792361,0.0878105531904725,0.997422318035765
0.00044576504206797,0.0881763548102876,0.998382772927565
7.67582349798464e-05,0.0890823998233838,0.999207133544231
0.000519794639830921,0.0882959412103693,0.997995535284755
0.00128332678370901,0.0875983364187018,0.995044338661991
0.000356180225450081,0.088506515019602,0.999764487752728
9.89492141434652e-05,0.0892045291242282,0.999360426079066
0.000339736445270944,0.0894936767148762,0.98807838191974
0.00319406170834712,0.0831371678753194,0.999789124948703
0.00372604861459293,0.0819736734167425,0.99987749247324
0.00426221588010723,0.0812386970927094,0.994832560861233
0.00276272626232799,0.0842281602964319,0.996606914203437
0.000919763411142569,0.0883934057547893,0.984322753390631
0.000805650769546611,0.087390143603656,0.999351031084381
0.00105912873198139,0.0871835456135815,0.996663106521254
0.00112345146491871,0.0874558748551942,0.992849652078167
0.00322101611574259,0.0833719507339932,0.996985847164532
0.00059183307341912,0.0888217581854116,0.994726559830799
0.00400361697735897,0.0817758253187897,0.997987213183043
0.00160872407769165,0.0863316003810116,0.997065841704557
0.000228577186667209,0.0901698150421381,0.990452812986105
0.000426966985250895,0.0884600447455175,0.996784310130895
0.000183590434501542,0.0890114942885438,0.990993976167417
0.00108355130965008,0.0870997497267268,0.989059583315845
0.00100580302981807,0.0869775659085841,0.987716471261084
8.89029344830736e-05,0.0882488359120544,0.997131688093111
0.00152284089425768,0.0853545600717173,0.998294521430892
0.000260158819566004,0.0884283017512755,0.997289676081197
0.00278677300796567,0.0837792384643787,0.998134529382401
0.00139786055050064,0.086178572211356,0.999624075257093
0.00619887256032713,0.0772496494053956,0.992224466941914
0.00573064586214735,0.0780482594721016,0.994505254691716
0.00399467041007133,0.081331051188658,0.999778999512118
0.00363396812281126,0.0820901894933326,0.999600024365643
0.00205252079352155,0.0854329354748125,0.99993804931938
0.00246054485117295,0.0844635868876907,0.998555820136089
0.000342807942042459,0.0894246607308959,0.984855815056417
0.000146450368207118,0.0894891904297319,0.997902047975929
0.000490939088550787,0.0881492770346652,0.995673518260272
0.000118316916210632,0.0885889729336724,0.993646686255983
0.00021467862002091,0.0890885546534097,0.985617622072148
1.59742198517697e-05,0.088607496810855,0.998856219844581
0.00182785819513077,0.0853836305422322,0.996785420712498
0.00023013186379775,0.0881564697214586,0.999029049969773
0.000791010269898502,0.0871621954849421,0.988490927804
0.00167690047167267,0.0853782165502748,0.995106361180029
0.000110668466667476,0.0886126328970823,0.997861527688278
0.000620205736713653,0.0878019117505922,0.997388384983633
0.002234421046775,0.0849937454193087,0.989387333914642
0.000748669120923795,0.0875635169529515,0.999156971340972
0.00156650766944545,0.0860150665813333,0.997592109997394
2.07348360737003e-05,0.0889691048868654,0.999047271223221
0.0013804759566994,0.0868313614734876,0.993950507628803
0.000136758877600711,0.0894982218612134,0.995677543354925
0.00123301381177361,0.0880299087738916,0.986182500225283
0.00155554783578599,0.0857488428256358,0.997358627269595
0.000805356388669809,0.0869185248978047,0.997720989316757
0.0020134565023287,0.0855353773186778,0.991194112506244
0.0018806777391681,0.0852258096704434,0.994554102554347
0.000135756971034149,0.0897231479054253,0.998783018724177
0.000636082852075152,0.0884060243184663,0.999867236685785
0.00469319098635229,0.0814823629866713,0.985539769248324
0.00424128520175263,0.0810539692720211,0.998211685717187
0.00325660736169902,0.0831500159650121,0.996378180773167
0.00440943187746205,0.0805095880510582,0.999775253769254
0.000522971616316999,0.0882130873936678,0.999525232875795
0.00169438960087276,0.0855301283583436,0.997404557510544
0.000981311039149326,0.0870665449871257,0.997782302278157
4.52783134700593e-05,0.0894883480630729,0.987518479983698
4.08645007227962e-05,0.089391850570553,0.993767597812236
0.00330844045924504,0.0828957248682571,0.997299065207853
0.000520931033177785,0.088593305866493,0.99361662795866
0.000269398563552734,0.0890932991070175,0.995337309297038
0.000132246419791009,0.0894335863297374,0.997316486722936
0.00118077208884398,0.0871062290893006,0.996487899984743
0.00112268278291345,0.0877854019295322,0.989260451430144
0.000187181648580515,0.0894154543730451,0.997049243162836
0.000804112204673606,0.087357788094741,0.999948848810431
0.000996710086250713,0.0869500869523023,0.999010864576662
0.0021215340709789,0.0853318156234257,0.994912041515985
0.000659067069500395,0.0876547505589764,0.997345480924209
0.00666442102011813,0.0758417678081403,0.998010430046272
0.0053764669986179,0.0793979081036714,0.978726645091788
0.0030752213436762,0.0831880552555019,0.998107275959284
0.000756421658269566,0.0882924251651809,0.998864535844293
0.000966030748623224,0.08802985480784,0.989156128498045
0.00284222177358627,0.0831124123465483,0.999632053073725
0.00137595664953296,0.0868271490587974,0.997382192607342
0.000274166900710075,0.0883599947015203,0.994162737035936
0.000580275950408444,0.088613326991017,0.994084544816026
0.00325482829882169,0.0826289975694101,0.992174544666407
0.000522138881785057,0.0876126645190495,0.997423197045984
0.000498818233847254,0.0881144752234237,0.992606787911243
0.00092354847046488,0.0871484886181991,0.993306205042822
0.00128775244673011,0.0870512953799056,0.989823291841949
0.000262476054314403,0.0890118538469567,0.99083985582267
0.00230198820044905,0.0845801950104426,0.999228639026151
0.00463995874109477,0.0798253484738709,0.99892728107699
0.00308344614457835,0.0829374959572864,0.99870336898528
0.00084572778517318,0.0879919118335644,0.996959515017942
0.00057751253878293,0.0880566885551521,0.992765324842138
0.0010263307630889,0.0868662111231708,0.996674995545127
0.00366479503307106,0.0825790532427601,0.98658732532866
0.00266924932102146,0.0837728327464754,0.999381838852393
0.000926042407399331,0.0878444078042458,0.99974683369007
0.0013645943457583,0.0868481378305885,0.997925626027625
0.00292557762523328,0.0839352006816926,0.998536709648549
0.00135788793402686,0.0863291502514867,0.996827587838865
0.000342554274796767,0.0889333160548406,0.990614800949541
0.000908515239172661,0.0875169199871232,0.995663864541159
0.000884653085253614,0.0875880693260488,0.9960786841404
0.00162804887047806,0.0879743467943434,0.979181787237236
0.00160534932003966,0.0867173744363827,0.997348527162624
0.0046401978844807,0.080151665166599,0.996296304984388
0.00237378922664879,0.0848320741921942,0.990592907486692
0.000176096587993457,0.089110921888237,0.993807036717295
0.00221847981951345,0.0844505503260818,0.994901071968495
0.00179749389797532,0.0857580353309647,0.997904660340423
0.00139890341476162,0.0863033821545616,0.998062943771571
0.00354993165918883,0.0824681345841168,0.999463708009228
0.000305724428448777,0.0898817504723706,0.990472329230909
5.51993794105597e-05,0.0911510091938579,0.981766881140249
0.00288952625598069,0.0836601207100615,0.999899058230535
0.000892036555587377,0.0881793892409546,0.994551111467059
0.00027224114288415,0.0893834781355586,0.995074640467268
0.00451734421612726,0.0808974038225638,0.987182643377314
0.0108417232115948,0.0680677039329517,0.998155828946761
0.0122366943013206,0.0649606256372678,0.99993564172048
0.0151660889772002,0.0593528769557715,0.998091568266204
0.0129626564838857,0.063484642905231,0.998342451166155
0.0123898947704393,0.0650289147613738,0.996299897808101
0.0138565956520435,0.0619085064933251,0.996214027896428
0.00605938543006277,0.0783801516265642,0.996395109423771
0.00795868973431148,0.0741913576071536,0.991831704228871
0.00321720404584818,0.0837486575067659,0.996822201907925
0.00287020718920417,0.083820176910632,0.991756320275537
0.000349831848965847,0.0883734717556327,0.998082477440287
0.000554014890214776,0.0879074807845117,0.99328843215387
0.00109952631672872,0.086518924003753,0.995853076402677
0.000963170227343735,0.0874940787230183,0.997082311422889
0.00145190452404256,0.086175617511633,0.998677064053087
0.00140892081062889,0.0866663260290041,0.99610214180463
0.000295915323623929,0.0884310427441619,0.998937825598355
0.000493703083847801,0.0884422510569444,0.988580584900431
0.00128464655272025,0.0866298366637882,0.99619253927884
0.00234540984219044,0.0846345784609001,0.996649649338693
0.000973820406958188,0.0876645012121701,0.995256150181022
0.000883940794351786,0.0872536180489437,0.995075989412532
0.000866738886183569,0.087945390793354,0.997238670312788
0.00174041474342529,0.0863550623905127,0.996220847743331
0.000164855027840219,0.0899756511012078,0.983690119649289
