beta1,beta2,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.000906034,0.045336146,0.010411242,0.012463032,0.019805555,0.018963642,0.024153153,0.01944189,0.01286836,0.009589735
0.001952714,0.040833566,0.0123066,0.011451778,0.018467165,0.017902211,0.020509952,0.039205764,0.020279567,0.014785971
0.006968014,0.037511501,0.005475765,0.015744232,0.016259312,0.012789344,0.028806854,0.027279738,0.018349644,0.00588715
0.002445386,0.039589279,0.008038793,0.015040323,0.015675632,0.012665266,0.029301173,0.029402403,0.016318175,0.00756624
0.005549636,0.036232003,0.012041406,0.011633901,0.018425854,0.017365377,0.024967007,0.034620466,0.018116008,0.008128558
0.002357472,0.041136848,0.010288272,0.010048813,0.018812702,0.014834838,0.026142265,0.030700684,0.012699469,0.013593916
0.001143634,0.041999344,0.007997207,0.013678546,0.024298284,0.022965321,0.020162733,0.0280492,0.029117517,0.014060515
0.000316289,0.03888088,0.006925824,0.018374623,0.015819475,0.018371727,0.026064411,0.031960669,0.024388193,0.006465645
0.001757722,0.037644761,0.010221116,0.017378635,0.011440818,0.017791327,0.025782073,0.034433001,0.013576032,0.013072877
0.002843036,0.043385643,0.008893094,0.014887298,0.009828283,0.014469787,0.024827579,0.025130404,0.015213477,0.005083657
0.001637777,0.04049079,0.008637334,0.010189793,0.021769092,0.014041601,0.028870478,0.030488201,0.020274642,0.012431377
0.002093557,0.036301338,0.012966044,0.017012505,0.008715741,0.019310227,0.027695983,0.03634778,0.03004981,0.014397702
0.000575228,0.043794949,0.010912013,0.011354122,0.016768223,0.019077524,0.020365438,0.036455693,0.027282033,0.018420493
0.006881033,0.038997455,0.00666759,0.016397496,0.012294035,0.018596386,0.023173134,0.02230313,0.016354478,0.009290448
0.000630387,0.040267564,0.008977613,0.014590439,0.016070595,0.016429862,0.025861192,0.036331819,0.01969718,0.007798021
0.000770516,0.042269537,0.008859647,0.014057466,0.018801101,0.017447551,0.022880769,0.02942576,0.019861927,0.014935718
0.001210369,0.043793445,0.007849576,0.016792335,0.015651822,0.015807099,0.024830515,0.026508184,0.01969202,0.007289637
0.001993129,0.040132698,0.012636518,0.009253288,0.020339455,0.021418689,0.016008869,0.043021771,0.030300939,0.012311901
0.007533865,0.038522583,0.005028825,0.016448612,0.014724278,0.019469068,0.019995295,0.03178993,0.020135972,0.012139229
0.006489522,0.034518746,0.013826738,0.012391463,0.016471532,0.014940261,0.024953406,0.03572888,0.019812566,0.009490003
0.002455736,0.041817831,0.011345682,0.012242243,0.009915847,0.022948921,0.021450467,0.032850609,0.020148982,0.010276893
0.000184133,0.046289909,0.007942426,0.014406433,0.016495023,0.017398672,0.023246197,0.024033428,0.012768157,0.006740313
0.001726719,0.043143833,0.006545673,0.019906982,0.009581541,0.018178317,0.023451351,0.028796781,0.009933262,0.008148083
0.00148612,0.041213976,0.005924747,0.015241695,0.016195019,0.018117476,0.026043928,0.030002237,0.023552161,0.012931503
0.005268101,0.040455095,0.006382642,0.017716305,0.009946184,0.012132063,0.025865933,0.027951922,0.018790767,0.014822236
0.001392787,0.037676953,0.008767305,0.013914747,0.020887673,0.016811211,0.032230306,0.026459741,0.015723955,0.021715234
0.004989522,0.038734203,0.006691083,0.012627578,0.016653005,0.0161079,0.031607168,0.024969062,0.012666966,0.01167968
0.001427345,0.042903967,0.008020999,0.016405663,0.015741873,0.014328947,0.027290951,0.027281936,0.013125985,0.007804526
0.00137006,0.043644459,0.007890594,0.015705435,0.015914245,0.016537598,0.024007165,0.025037338,0.016139272,0.007365148
0.002542395,0.039212141,0.012769839,0.010968491,0.023399263,0.021030154,0.021815173,0.031569097,0.018188032,0.004852285
0.001654901,0.03706685,0.007003174,0.019153288,0.012701642,0.018364472,0.027789433,0.035521366,0.018862176,0.012624256
0.001028192,0.041421022,0.008441286,0.022131803,0.008089677,0.016048057,0.028318019,0.018434751,0.015315128,0.012401971
0.00191269,0.040056063,0.005861406,0.016788361,0.014166583,0.016067083,0.023579997,0.043928248,0.021724474,0.014115369
0.000875372,0.042472058,0.008264935,0.014746824,0.013558794,0.016253406,0.026369426,0.028767798,0.020719805,0.013272311
0.000669918,0.042296454,0.011681527,0.012632112,0.011816742,0.014752215,0.027028942,0.032370061,0.020842961,0.008525876
9.25E-05,0.042830487,0.007797606,0.016855099,0.01502162,0.016292298,0.022542542,0.034968103,0.011112581,0.010645998
0.001191369,0.042687377,0.007826888,0.015932816,0.013874526,0.018463398,0.023289208,0.032624841,0.021414121,0.009627777
0.004466242,0.040044526,0.012708954,0.013432231,0.012749159,0.022335683,0.019969875,0.035476723,0.01744571,0.007272208
0.0054772,0.039326335,0.008341863,0.008800684,0.022223994,0.014897615,0.023508527,0.02875785,0.012928923,0.012436352
0.00087676,0.044921416,0.003571535,0.016534749,0.013162988,0.01451233,0.027215756,0.027263077,0.020010361,0.009026852
0.000945145,0.04253448,0.007137822,0.013598476,0.013780156,0.019996584,0.027212215,0.025972912,0.018776999,0.015471144
0.000248912,0.04341814,0.010123993,0.009248857,0.017143121,0.016063834,0.026918388,0.033751154,0.010001454,0.026628346
0.000392866,0.042426165,0.010236856,0.011572232,0.014345495,0.015201653,0.027557114,0.026209846,0.022912452,0.014061921
0.00011822,0.041939639,0.009365176,0.011935029,0.018830215,0.016041648,0.025607677,0.033405566,0.018735253,0.007888042
0.000903695,0.036714472,0.007272093,0.018469867,0.013507727,0.022974278,0.027060785,0.039430348,0.024932364,0.011505652
0.001099276,0.043598881,0.007351078,0.015562953,0.014328064,0.014805184,0.028385398,0.023398974,0.018125381,0.006461245
0.000113956,0.042400076,0.010000507,0.014853723,0.012466595,0.015399289,0.029884592,0.025229952,0.018784227,0.007277601
1.53E-05,0.044550346,0.010151808,0.01159907,0.01724061,0.016262071,0.027501859,0.025126431,0.025116607,0.012377622
0.005699277,0.036232259,0.008863611,0.016507573,0.011712227,0.012727267,0.029804973,0.026645947,0.012893727,0.02065296
0.001611312,0.045653951,0.008190948,0.009071143,0.020445258,0.026575937,0.016270456,0.028777124,0.018812071,0.019798097
3.57E-05,0.043811949,0.011545685,0.013940691,0.013948946,0.018146134,0.026035964,0.021160934,0.022058189,0.006118505
0.001356704,0.040550983,0.005943828,0.018949737,0.009182785,0.017487798,0.024994852,0.032576042,0.017323847,0.0149503
0.001412251,0.040421654,0.0124096,0.013117529,0.01663684,0.015650962,0.025033761,0.02584621,0.020291381,0.007535446
0.000345954,0.039352993,0.009659213,0.014566142,0.013829451,0.020966749,0.02115697,0.042400022,0.010567279,0.023717736
0.000613439,0.044798594,0.011609698,0.014797768,0.00975547,0.017943273,0.024623024,0.02385611,0.017675171,0.003446864
0.002788779,0.038909094,0.007540092,0.015202232,0.018173293,0.018567916,0.026467029,0.027231453,0.011231976,0.016553972
0.002219069,0.038854577,0.012679452,0.011644865,0.014911678,0.019083586,0.022494339,0.039704506,0.029982219,0.011193922
0.001398559,0.045923503,0.011483475,0.012174942,0.015455494,0.014303465,0.026058346,0.021692299,0.018000605,0.005563408
0.007707724,0.03219536,0.008720604,0.012482351,0.021995757,0.017903902,0.025166539,0.043544621,0.006827753,0.020441965
0.000992898,0.04070682,0.008120294,0.018017859,0.015886671,0.016731159,0.024634825,0.033968202,0.005978265,0.018348914
0.004176746,0.037567433,0.009385079,0.017389454,0.013673177,0.023395151,0.016354085,0.045258145,0.012457944,0.011359135
0.002469029,0.038014372,0.009596957,0.013903607,0.016555304,0.019551956,0.024451093,0.038365549,0.018815473,0.007538427
0.001035948,0.043272147,0.00982086,0.012609324,0.021872756,0.015148496,0.022774362,0.029732573,0.016578413,0.005841282
0.003812716,0.040848142,0.007667036,0.012005091,0.013029831,0.019177174,0.023620208,0.03186053,0.020434711,0.011475461
0.00310074,0.036259002,0.013334642,0.014488849,0.013133947,0.022837186,0.025245698,0.025780341,0.022311375,0.0107831
0.007171763,0.036715696,0.011070002,0.011938051,0.015135625,0.017730071,0.026378207,0.02289588,0.018433447,0.009119466
0.004662956,0.037595672,0.009445882,0.016789528,0.009300263,0.024814136,0.0180298,0.038578051,0.02525937,0.009146159
0.000662062,0.041772614,0.010432667,0.01282982,0.014258216,0.021536833,0.020273149,0.037141223,0.018393643,0.010651718
0.000429483,0.039572395,0.012473679,0.010567713,0.020540607,0.024543725,0.021015916,0.037481518,0.015318925,0.032059792
0.000293964,0.038612231,0.013197734,0.013445939,0.015204825,0.017538275,0.030120026,0.032806885,0.028985126,0.013410887
0.001596054,0.038008903,0.008191738,0.015435619,0.007705481,0.018730186,0.028339053,0.036420861,0.021243512,0.03354971
