beta1,beta2,z,shortRho_m[1],shortRho_m[2],shortRho_m[3],shortRho_f[1],shortRho_f[2],shortRho_f[3],muRho,sigmaRho
0.002033242,0.046498057,0.73241665,0.00197729,0.003029882,0.013464453,0.005234654,0.018663438,0.022894487,0.01226778,0.011608044
0.004866121,0.041059598,0.507315039,0.001495392,0.010368554,0.010072231,0.015978642,0.017950033,0.023845851,0.014378206,0.015431697
0.004746079,0.036040308,0.522837915,0.00607697,0.010378053,0.010181956,0.015657929,0.025106012,0.021334262,0.009692113,0.008005227
0.001586779,0.040853964,0.222186395,0.007547552,0.013363786,0.02371367,0.012503948,0.025716785,0.019248144,0.01742587,0.003855524
0.003523135,0.045273882,0.514950127,0.005883687,0.003896578,0.016422509,0.007563967,0.015823084,0.032666943,0.014248692,0.012436542
0.000309514,0.046105864,0.638497131,0.000579181,0.007783871,0.011815817,0.006961336,0.023218565,0.020889186,0.003427983,0.010794087
0.000976535,0.041512971,0.000270755,0.0100553,0.01077968,0.024084415,0.017613938,0.025191139,0.031286624,0.014196282,0.013592619
0.001130586,0.045123401,0.501798295,0.000930132,0.010082674,0.00890234,0.008748389,0.02196477,0.029752362,0.010154099,0.011007066
0.00286416,0.041921554,0.435418121,0.006107978,0.011545335,0.002820466,0.010171602,0.025008507,0.0272224,0.017510304,0.011497447
0.00354952,0.04467372,0.601794746,0.003184081,0.006656203,0.015935072,0.013403237,0.01742949,0.016729878,0.011601086,0.007863491
0.001700776,0.04295544,0.320010771,0.007018728,0.013900344,0.009004704,0.015973107,0.015627117,0.031591203,0.015866086,0.007916442
0.000742476,0.043406818,0.086766611,0.002207839,0.01693467,0.014459747,0.016750811,0.024609223,0.02579771,0.016142375,0.008021365
0.003897377,0.043494965,0.642596188,0.000758118,0.007977223,0.011409155,0.008607587,0.015746998,0.028336676,0.011676046,0.01550698
0.002563187,0.041060375,0.023928672,0.013624793,0.011235797,0.018296335,0.015507024,0.024527166,0.029500772,0.018953407,0.012291418
0.00203642,0.04181754,0.29027316,0.008777044,0.008021311,0.015281544,0.017684436,0.016578977,0.034501719,0.016849754,0.012515946
0.001005956,0.042946825,0.180851597,0.007172924,0.01046646,0.017368448,0.019153358,0.018055257,0.037645076,0.016823668,0.007474205
0.005865111,0.042741086,0.557790899,0.000758286,0.009494267,0.008135382,0.010374002,0.01574674,0.027196635,0.020203394,0.02596755
0.006449962,0.03899582,0.011355838,0.008453942,0.015153122,0.011466939,0.016083873,0.024936428,0.025680431,0.020221678,0.007306976
0.002323639,0.040176275,0.659448381,0.002899649,0.009678235,0.014218541,0.013008696,0.022245825,0.017953982,0.011259569,0.007650723
0.000316365,0.044510392,0.134616099,0.003340659,0.0160818,0.010531358,0.015153642,0.020067984,0.036414687,0.023846106,0.012353278
0.004683208,0.040961546,0.476630405,0.006151125,0.010175517,0.006509938,0.010287672,0.019862221,0.027389278,0.013488833,0.005118162
0.000579778,0.043869425,0.54957634,0.003364638,0.007412123,0.00883526,0.009538807,0.019724586,0.036115667,0.019618378,0.020296754
0.002081154,0.0437384,0.277545541,0.007430911,0.010254218,0.016458576,0.011720991,0.023646551,0.02243363,0.013791768,0.021351995
